emoji,hexcode,cleaned_description,cleaned_llm_description,openmoji_tags
💂🏾‍♂️,1f482-1f3fe-2642,,,
💂🏿,1f482-1f3ff,,emoji represents guard dark skin tone often used convey protection security authority various context,
💂🏿‍♀️,1f482-1f3ff-2640,,,
💂🏿‍♂️,1f482-1f3ff-2642,,,
💂‍♀️,1f482-2640,female version guardsman emoji,,"guard, woman"
💂‍♂️,1f482-2642,male version guardsman emoji currently identical appearance nongendered base emoji,,"guard, man"
💃,1f483,person dancing commonly displayed woman one arm raised wearing red dress dancing salsa flamenco often used represent sense fun positive affirmation eg,emoji represents woman dancing often used express joy celebration convey idea moving freely enjoying oneself,"dance, dancing, woman"
💃🏻,1f483-1f3fb,,emoji represents woman dancing light skin tone often used express joy celebration show support someone performance talent,
💃🏼,1f483-1f3fc,,emoji represents woman dancing mediumlight skin tone often used express joy celebration show support someone performance talent,
💃🏽,1f483-1f3fd,,emoji represents woman dancing medium skin tone often used express joy celebration show support someone performance talent,
💃🏾,1f483-1f3fe,,emoji represents woman dancing mediumdark skin tone often used express celebration joy show support someone performance talent,
💃🏿,1f483-1f3ff,,emoji represents woman dancing dark skin tone often used express celebration joy show support someone performance achievement,
💄,1f484,lipstick shown lid removed display shade red platform except whatsapp twitter pinkish color,emoji represents lipstick cosmetic product used color enhance appearance lip often associated beauty fashion selfexpression,"cosmetics, makeup"
💅,1f485,colored nail polish applied finger nail often used display air nonchalance indifference shown red pink purple nail polish platform color rarely change meaning emoji,emoji represents nail polish often used express beauty fashion indicate desire manicure pedicure,"care, cosmetics, manicure, nail, polish"
💅🏻,1f485-1f3fb,,emoji represents nail polish often used express beauty fashion personal care depicted light skin tone indicating subtle representation cosmetic product,
💅🏼,1f485-1f3fc,,emoji represents nail polish often used express beauty fashion personal care depicted mediumlight skin tone,
💅🏽,1f485-1f3fd,,emoji represents nail polish medium skin tone often used express beauty fashion personal care also symbolize selfcare confidence,
💅🏾,1f485-1f3fe,,emoji represents nail polish often used express beauty fashion personal care mediumdark skin tone variation,
💅🏿,1f485-1f3ff,,emoji represents nail polish often used express beauty fashion personal care dark skin tone variation indicating wider range representation,
💆,1f486,person getting face massaged apple artwork character show head massage,emoji represents person receiving massage often used express relaxation selfcare indicate spa wellness experience,"face, massage, salon"
💆🏻,1f486-1f3fb,,emoji represents person receiving massage light skin tone often used convey relaxation selfcare rejuvenation,
💆🏻‍♀️,1f486-1f3fb-2640,,,
💆🏻‍♂️,1f486-1f3fb-2642,,,
💆🏼,1f486-1f3fc,,emoji represents person receiving massage mediumlight skin tone indicating relaxation selfcare rejuvenation,
💆🏼‍♀️,1f486-1f3fc-2640,,,
💆🏼‍♂️,1f486-1f3fc-2642,,,
💆🏽,1f486-1f3fd,,emoji represents person receiving massage often used express relaxation selfcare indicate someone pampered taking break,
💆🏽‍♀️,1f486-1f3fd-2640,,,
💆🏽‍♂️,1f486-1f3fd-2642,,,
💆🏾,1f486-1f3fe,,emoji represents person receiving massage mediumdark skin tone indicating relaxation selfcare rejuvenation,
💆🏾‍♀️,1f486-1f3fe-2640,,,
💆🏾‍♂️,1f486-1f3fe-2642,,,
💆🏿,1f486-1f3ff,,emoji represents person receiving massage dark skin tone indicating relaxation selfcare rejuvenation,
💆🏿‍♀️,1f486-1f3ff-2640,,,
💆🏿‍♂️,1f486-1f3ff-2642,,,
💆‍♀️,1f486-2640,female version face massage emoji,,"face, massage, woman"
💆‍♂️,1f486-2642,male version face massage emoji,,"face, man, massage"
💇,1f487,person process getting hair cut scissors shown open next hair head gender specified many early design displayed emoji woman,emoji represents person getting haircut often used express act grooming personal care change appearance,"barber, beauty, haircut, parlor"
💇🏻,1f487-1f3fb,,emoji represents person getting haircut specifically light skin tone often used convey idea grooming personal care change appearance,
💇🏻‍♀️,1f487-1f3fb-2640,,,
💇🏻‍♂️,1f487-1f3fb-2642,,,
💇🏼,1f487-1f3fc,,emoji represents person getting haircut specifically mediumlight skin tone often used convey action grooming personal care,
💇🏼‍♀️,1f487-1f3fc-2640,,,
💇🏼‍♂️,1f487-1f3fc-2642,,,
💇🏽,1f487-1f3fd,,emoji represents person getting haircut medium skin tone often used convey act grooming personal care change appearance,
💇🏽‍♀️,1f487-1f3fd-2640,,,
💇🏽‍♂️,1f487-1f3fd-2642,,,
💇🏾,1f487-1f3fe,,emoji represents person getting haircut mediumdark skin tone indicating person color often used express act grooming personal care,
💇🏾‍♀️,1f487-1f3fe-2640,,,
💇🏾‍♂️,1f487-1f3fe-2642,,,
💇🏿,1f487-1f3ff,,emoji represents person getting haircut dark skin tone indicating character darker complexion often used convey act grooming personal care change appearance,
💇🏿‍♀️,1f487-1f3ff-2640,,,
💇🏿‍♂️,1f487-1f3ff-2642,,,
💇‍♀️,1f487-2640,female version haircut emoji,,"haircut, woman"
💇‍♂️,1f487-2642,male version haircut emoji,,"haircut, man"
💈,1f488,pole spiraled red white blue stripe spin front barbershop commonly used various content concerning haircutting hairstyling,emoji represents barber pole symbolizing traditional barbershop service haircutting often featuring red white blue color scheme,"barber, haircut, pole"
💉,1f489,medical syringe used administer vaccine draw blood generally depicted angle needle upper right,emoji represents syringe often used administer medication vaccine symbolize healthcare medical treatment injection,"medicine, needle, shot, sick"
💊,1f48a,,emoji represents pill often used symbolize medication healthcare pharmaceutical,"doctor, medicine, sick"
💋,1f48b,mark left firm kiss placed bright lipstick used place xxx kiss send kiss someone,emoji represents kiss mark often used express love affection romantic connection two people,"kiss, lips"
💌,1f48c,back envelope generally shown white sealed red heart represents love letter note valentine affectionate greeting card,emoji represents love letter symbolizing affection romance heartfelt emotion shared two people,"heart, letter, love, mail"
💍,1f48d,ring displaying gem stone kind top likely diamond piece jewellery often associated proposal subsequent engagement married,emoji represents wedding ring symbolizing love commitment marriage often used express engagement marriage romantic relationship,diamond
💎,1f48e,jewel gem set ring depicted shape classic diamond bright blue color aquamarine,emoji represents sparkling gemstone often used symbolize beauty luxury preciousness well representing concept wealth high value,"diamond, gem, jewel"
💏,1f48f,kissing gesture shown pink love heart floating air two people gender specified two people may used represent concept couple broadly andor mean showing two nonbinary people previously shown appearance kiss woman man display two people ambiguous gender appearance,emoji represents two people sharing romantic affectionate kiss often used express love happiness convey sense connection two individual,couple
💏🏻,1f48f-1f3fb,,emoji represents kiss light skin tone often used express love affection happiness romantic relationship friendship,
💏🏼,1f48f-1f3fc,,emoji represents mediumlight skin tone kiss showing two people embracing loving affectionate gesture often used express happiness love connection,
💏🏽,1f48f-1f3fd,,emoji represents medium skin tone couple sharing kiss often used express love affection romantic relationship,
💏🏾,1f48f-1f3fe,,emoji represents mediumdark skin tone kiss showing two people embracing loving affectionate gesture often used express happiness love connection,
💏🏿,1f48f-1f3ff,,emoji represents kiss dark skin tone often used express love affection happiness relationship celebrate special moment,
💐,1f490,bouquet brightly colored flower generally depicted collection pink yellow flower green stem tied together,emoji represents bouquet flower often used express love appreciation happiness symbolizing beauty joy celebration various occasion,flower
💑,1f491,couple standing next smiling love heart floating air gender specified two people may used represent concept couple broadly andor mean showing two nonbinary people,emoji represents couple holding hand heart symbolizing love affection romantic relationship,"couple, love"
💑🏻,1f491-1f3fb,,emoji represents couple heart skin tone light symbolizing love relationship affection two people,
💑🏼,1f491-1f3fc,,emoji show couple heart representing love relationship togetherness mediumlight skin tone figure,
💑🏽,1f491-1f3fd,,emoji represents couple heart featuring medium skin tone symbolizing love relationship affection two people,
💑🏾,1f491-1f3fe,,emoji represents couple heart featuring mediumdark skin tone symbolizing love relationship affection two people,
💑🏿,1f491-1f3ff,,emoji represents couple heart skin tone depicted dark symbolizing two people loving relationship partnership often used express affection togetherness support,
💒,1f492,emoji depict wedding displayed vendor christian church love heart platform display cross bell building,emoji represents wedding symbolizing love commitment celebration two people coming together marriage,"chapel, romance"
💓,1f493,heart vibrationmovement line around indicating beating displayed pink red platform,emoji represents beating heart symbolizing love affection emotion often used express feeling warmth care connection,"beating, heartbeat, pulsating"
💔,1f494,love heart broken two emoji represents aching one feel missing person love,emoji represents broken heart symbolizing sadness loss emotional pain often used express feeling heartbreak disappointment grief,"break, broken"
💕,1f495,two pink love heart one larger,emoji represents two heart often used express love affection romantic relationship well symbolize togetherness emotional connection,love
💖,1f496,pink love heart star around making look like sparkling shimmering emoji tends spike popularity valentine day,emoji represents sparkling heart often used express love affection happiness admiration associated romantic relationship strong emotional connection,"excited, sparkle"
💗,1f497,pink heart inside slightly larger pink heart inside largeragain pink heart intended give impression heart increasing size,emoji represents growing heart symbolizing love affection happiness often used express feeling growth expansion relationship emotion,"excited, growing, nervous, pulse"
💘,1f498,heart emoji arrow center like arrow cupid shoot love emoji tends spike popularity valentine day,emoji represents heart pierced arrow symbolizing love affection romantic feeling often used express deep emotion represent lovestruck individual,"arrow, cupid"
💙,1f499,blue heart emoji commonly used brand neutral heart color colorbased heart emoji often also used express affinity appreciation various people place group object idea associated color,emoji represents blue heart symbolizing love affection emotional connection often used express deep feeling romantic relationship,blue
💚,1f49a,green heart emoji often used alongside colored heart colorbased heart emoji often also used express affinity appreciation various people place group object idea associated color,emoji represents green heart symbolizing love care affection often used express positive emotion support relationship friendship,green
💛,1f49b,yellow gold colored heart frequently used alongside colored heart amusingly emoji displayed pink hairy heart android,emoji represents yellow heart symbolizing love affection happiness often used express positive emotion feeling various context,yellow
💜,1f49c,purple heart emoji often used alongside colored heart colorbased heart emoji often also used express affinity appreciation various people place group object idea associated color,emoji represents purple heart often used express love affection romantic feeling well symbolize heart chakra spiritual connection,purple
💝,1f49d,heartshaped box tied ribbon may gift box box chocolate jewellery box,emoji represents heart ribbon often used express love affection appreciation given symbol congratulation celebrate special occasion,"ribbon, valentine"
💞,1f49e,heart revolving around one heart emoji originally animated number japanese device,emoji represents two revolving heart symbolizing love affection deep emotional connection two people,revolving
💟,1f49f,decorative heart generally display white heartshaped cutout pink purple roundrect google previously displayed pink heart yellow dot around samsungs pink patterned heart microsofts corner stitch,emoji represents heart decoration often used express love affection admiration well highlight emphasize romantic emotional message,heart
💠,1f4a0,glyph used kawaii japan resembling shape flower google design previously resembled flower samsungs previously displayed white symbol blue square,emoji represents diamond dot center often used symbolize elegance luxury high value well representing concept gemstone precious jewel,"comic, diamond, geometric, inside"
💡,1f4a1,light bulb screwed lamp light room depicted incandescent bulb silver base often shown filament soft yellowwhite glow,emoji represents light bulb symbolizing idea inspiration moment enlightenment often used express sudden realization creative thought,"bulb, comic, electric, idea, light"
💢,1f4a2,red symbol found animemanga used represent vein popping angry person also used comic book indicate punch landed perhaps next word bam pow,emoji represents anger symbol often used express feeling frustration annoyance irritation various context,"angry, comic, mad"
💣️,1f4a3,cartoonstyled bomb depicted black ball burning fuse commonly used various figurative bomb explosion eg slang bomb home run baseball softball excellent attractive sometimes applied context war weapon violence,emoji represents bomb often used symbolize danger conflict explosive situation also represent metaphorical bombshell context surprising shocking news,comic
💤,1f4a4,series three z making zzz represents sleeping snoring dreaming sleeprelated state,emoji represents person sleeping resting often used express tiredness relaxation need rest,"comic, good night, sleep, zzz"
💥,1f4a5,cartoonstyled representation collision depicted starlike orangeandyellow fiery burst generally one point extending bottom right source collision,emoji represents collision explosion often used express sudden event accident dramatic impact,"boom, comic"
💦,1f4a6,three light blue droplet sweat bead splashing right resembles plewds stylized sweat droplet used comic animation show character working hard feeling stressed,emoji represents sweat droplet symbolizing perspiration effort hard work often used express physical mental exertion,"comic, splashing, sweat"
💧,1f4a7,single light blue droplet water sweat tear may used various type liquid,emoji represents droplet often used symbolize water moisture act dripping leaking convey theme hydration cleanliness even emotional tear,"cold, comic, drop, sweat"
💨,1f4a8,cartoonstyled gust air depicted small gray cloud motion line rushing left,emoji represents someone blowing air gust wind often used express sudden movement change emphasize feeling relief excitement,"comic, dash, running"
💩,1f4a9,swirl brown poop shaped like softserve ice cream large excited eye frequently big friendly smile widely agreed inspired various poopshaped character within dr,emoji represents pile poo often used express humor silliness indicate something poor quality undesirable,"dung, face, monster, poo, poop"
💪,1f4aa,arm flexing show biceps muscle represents strength working,emoji represents flexed biceps symbolizing strength power physical fitness often used express admiration indicate strong impressive performance,"biceps, comic, flex, muscle"
💪🏻,1f4aa-1f3fb,,emoji show flexed bicep light skin tone representing strength fitness accomplishment often used express physical power celebrate achievement,
💪🏼,1f4aa-1f3fc,,emoji show flexed bicep mediumlight skin tone representing strength fitness accomplishment often used express physical prowess show support someone achievement,
💪🏽,1f4aa-1f3fd,,emoji represents flexed bicep often used express strength fitness showing physical prowess medium skin tone variation,
💪🏾,1f4aa-1f3fe,,emoji represents flexed bicep mediumdark skin tone often used express strength fitness showing one muscle,
💪🏿,1f4aa-1f3ff,,emoji show flexed biceps dark skin tone representing strength fitness selfconfidence often used express admiration convey sense accomplishment,
💫,1f4ab,,emoji represents spinning sparkling star whirlwind often used express excitement amazement dizziness,"comic, star"
💬,1f4ac,cartoonstyle balloon used represent spoken word comic sometimes used communication apps indicate another person typing message,emoji represents speech balloon often used express communication talking sharing thought idea found various context conversation presentation social medium post,"balloon, bubble, comic, dialog, speech"
💭,1f4ad,large cloudlike shape commonly known thought bubble used represent thinking thought commonly used comic display thought drawn character,emoji represents thought balloon often used express idea thought inner dialogue symbolize creativity introspection daydreaming,"balloon, bubble, comic, thought"
💮,1f4ae,stylized white flower generally depicted rosette shaped cherry blossom pink red outline often white fill,emoji represents white flower often used symbolize beauty purity new beginning associated various type flower daisy lily,flower
💯,1f4af,emoji number onehundred written red underlined twice emphasis originating number written school exam paper indicate perfect score teacher japan may also use stamp addition mark indicate student performed well,emoji represents hundred point often used express perfect score high achievement emphasize excellence success,"100, full, hundred, score"
💰️,1f4b0,bag full money depicted sack usually tan tied displaying dollar sign,emoji represents money bag symbolizing wealth finance monetary value often used discussion money investment economic topic,"bag, dollar, money, moneybag"
💱,1f4b1,symbol exchanging two currency commonly displayed dollar symbol arrow yen symbol,emoji represents currency exchange often used symbolize trading financial transaction conversion one currency another,"bank, currency, exchange, money"
💲,1f4b2,large dollar sign used represent various international currency generally depicted either black green,emoji represents heavy dollar sign often used indicate financial matter wealth emphasize value money,"currency, dollar, money"
💳️,1f4b3,backside credit card showing magnetic strip signature color detail vary across platform often shown gold silver blue,emoji represents credit card plastic payment card connected person bank account commonly used making purchase withdrawing cash,"card, credit, money"
💴,1f4b4,banded stack yen banknote paper currency japan color detail vary across platform usually shown green yellow pink yen symbol,emoji represents japanese yen banknote often used symbolize currency financial matter japan economy,"banknote, bill, currency, money, note, yen"
💵,1f4b5,cash money banded stack u,emoji represents dollar banknote often used symbolize money financial matter transaction united state country using u dollar currency,"banknote, bill, currency, dollar, money, note"
💶,1f4b6,banded stack euro banknote paper currency european union eu color detail vary across platform shown euro sign,emoji represents euro banknote symbolizing currency used many european country often used financial transaction purchase,"banknote, bill, currency, euro, money, note"
💷,1f4b7,quid banded stack pound banknote paper currency united kingdom england wale northern ireland scotland,emoji represents british pound banknote often used symbolize currency money financial transaction united kingdom,"banknote, bill, currency, money, note, pound"
💸,1f4b8,banded stack u dollar bill feather wing flying,emoji represents money wing symbolizing wealth prosperity financial success often used express desire attainment financial gain abundance,"banknote, bill, fly, money, wings"
💹,1f4b9,graph showing value japanese yen rising,emoji represents upward chart graph often used symbolize growth progress increase value particularly context finance economic data,"chart, graph, growth, money, yen"
💺,1f4ba,seat could refer form place sit distinction seat generally fixed chair moved emoji intended seat form masstransit airplane train bus google previously displayed orange wooden chair,emoji represents seat often used indicate place sit express concept seated taking break,chair
💻️,1f4bb,laptop personal computer depicted black gray device opened show dark blue screen keyboard touchpad,emoji represents laptop portable personal computer commonly used work study entertainment featuring keyboard touchpad screen,"computer, pc, personal"
💼,1f4bc,place store note office material primarily used older people,emoji represents briefcase symbolizing professionalism work business often used convey carrying important document belonging job meeting,briefcase
💽,1f4bd,minidisc depicted small silver gold optical disc housed square cartridge shutter positioned right discontinued audio data storage format due success cd mp technology though emoji commonly used represent cd dvd related film music content especially album,emoji represents computer disk often used symbolize data storage file management transfer digital information,"computer, disk, minidisk, optical"
💾,1f4be,inch floppy disk data storage format popular largely preserved save icon computer program shown silver shutter positioned black housing white label accented blue red,emoji represents floppy disk historical data storage device commonly used computer gaming system,"computer, disk, floppy"
💿️,1f4bf,silver optical disc cd dvd used play music movie rise streaming technology commonly used represent cd dvd blurays related film music content especially album,emoji represents optical disk data storage medium used storing digital information music video software commonly known cd dvd,"cd, computer, disk, optical"
📀,1f4c0,digital versatile disc dvd type optical disc used play movie rise streaming technology generally depicted gold though facebooks bluish gray bluray,emoji represents dvd physical medium storing digital video audio content commonly used movie home entertainment,"blu-ray, computer, disk, optical"
📁,1f4c1,tabbed folder used file paper cabinet icon file computer platform depict yellow folder manila tab shown left,emoji represents file folder often used symbolize organizing storing managing digital physical document file,"file, folder"
📂,1f4c2,slightly open tabbed folder used file paper cabinet icon opened folder using computer platform depict yellow folder manila tab shown left,emoji represents open file folder often used symbolize organizing storing sharing digital document file,"file, folder, open"
📃,1f4c3,white piece paper curled bottom left right text printed business letter commonly used content concerning various type document writing,emoji represents page curled edge often used symbolize document paper piece literature convey sense elegance sophistication nostalgia,"curl, document, page"
📄,1f4c4,white piece paper top right corner curled dogeared text printed business letter icon document computer commonly used content concerning various type document writing,emoji represents page facing often used symbolize document paper information shared displayed,"document, page"
📅,1f4c5,single date calendar generally depicted page torn daily desk calendar displaying month day white square page,emoji represents calendar symbolizing date event organization time often used schedule appointment plan activity,date
📆,1f4c6,single date calendar generally depicted page tworinged daily desk calendar flipped torn change date,emoji represents tearoff calendar often used keep track date event deadline commonly found office home,calendar
📇,1f4c7,card index rolodex used organize access card containing information personal business contact depicted black gray rotating device contact card displayed including graphic text,emoji represents card index often used organizing referencing information symbolizing order research data management,"card, index, rolodex"
📈,1f4c8,graph showing red sometimes green trend line increasing time stock price revenue commonly used represent various type increase numerical data metaphorically rise,emoji represents upward chart graph often used symbolize growth progress increasing trend various field finance business data analysis,"chart, graph, growth, trend, upward"
📉,1f4c9,graph showing colored trend line often blue decreasing time stock price revenue commonly used represent various type decrease numeral data metaphorically,emoji represents chart graph show decreasing trend often used convey decline data value performance,"chart, down, graph, trend"
📊,1f4ca,bar graph generally showing three differentcolored vertical rectangle various height compare value across category commonly used represent various type data information fact figure chart generally,emoji represents bar chart graphical representation data using rectangular bar different height length compare visualize value,"bar, chart, graph"
📋️,1f4cb,white piece paper secured silver clip brown clipboard used writing surface standing commonly used content concerning various type document writing especially sport,emoji represents clipboard flat surface used holding paper temporarily often used digital context copy paste text image,clipboard
📌,1f4cc,thumbtack drawing pin used pin document bulletin notice board depicted angle red flat head upper right,emoji represents pushpin often used symbolize marking location place point interest map board,pin
📍,1f4cd,pushpin used indicate location map generally depicted upright pin red round head,emoji represents round pushpin often used symbolize location place marking something map board,"pin, pushpin"
📎,1f4ce,silver paper clip used hold together sheet paperor remove sim card mobile phone shown positioned various angle,emoji represents paperclip small often metal clip used hold sheet paper together,paperclip
📏,1f4cf,ruler used draw straight line measure distance variously depicted metal wood plastic straightedge length marking angle,emoji represents straight ruler often used measuring drawing straight line symbolize precision accuracy organization,"ruler, straight edge"
📐,1f4d0,triangle set square used engineer architect draw straight line angle variously depicted metal wood plastic right triangle length marking hypotenuse right,emoji represents triangular ruler often used geometry construction symbolizing measurement precision design,"ruler, set, triangle"
📑,1f4d1,sheet white printed paper variously colored tab bookmark important section indicate signature line commonly used content concerning various type document writing,emoji represents bookmark tab often used indicate saved favorite webpage document symbolizing organization personalization digital content,"bookmark, mark, marker, tabs"
📒,1f4d2,spiralbound yellow hardcover notebook intended depict financial ledger used accounting,emoji represents ledger symbolizing accounting recordkeeping organization often used context finance business personal management,notebook
📓,1f4d3,darkcolored hardcover notebook used write take note school commonly used various content concerning writing schooling,emoji represents notebook book blank page used writing note idea sketch often associated learning creativity organization,notebook
📔,1f4d4,closed hardcover notebook used journaling sketching appearance varies across platform design featuring relatively plain cover,emoji represents notebook decorative cover often used symbolize writing creativity personal expression well education learning,"book, cover, decorated, notebook"
📕,1f4d5,closed hardcover book depicted red cover platform commonly used various content concerning reading writing learning schooling,emoji represents closed book often used symbolize knowledge learning end story chapter,"book, closed"
📖,1f4d6,open hardcover book depicted blue cover platform platform include bookmark,emoji represents open book symbolizing knowledge learning literacy often used express exchange idea represent education reading,"book, open"
📗,1f4d7,closed green hardcover book commonly used various content concerning reading writing learning schooling,emoji represents green book often used symbolize literature reading knowledge education well representing specific genre collection work,"book, green"
📘,1f4d8,closed blue hardcover book commonly used various content concerning reading writing learning schooling,emoji represents blue book often used symbolize knowledge learning education well representing official document publication,"blue, book"
📙,1f4d9,closed orange hardcover booksimilar emojipedia logo commonly used various content concerning reading writing learning schooling may also used orange accent color,emoji represents orange book often used symbolize reading literature knowledge education,"book, orange"
📚️,1f4da,loose stack three differentcolored hardcover book commonly used various content concerning reading schooling,emoji represents book symbolizing knowledge learning literature often used express love reading represent educational resource,book
📛,1f4db,name badge used identify oneself location others may know name school trip work conference tulip shaped name badge one many design commonly found kindergarten japan,emoji represents name badge often used professional academic setting identify individual symbolize belonging recognition networking,"badge, name"
📜,1f4dc,ancient scroll unrolled reveal text papyrus parchment paper may used represent study history official document diploma,emoji represents scroll ancient form written document rolled sealed often used convey important message historical record official decree,paper
📝,1f4dd,white piece paper text written yellow pencil positioned sheet tip angle commonly used content concerning various type document writing including signing sport,emoji represents memo note often used symbolize writing communication sharing information,pencil
📞,1f4de,handset traditional telephone speaker microphone generally depicted black angle,emoji represents telephone receiver symbolizing communication connection act listening speaking phone,"phone, receiver, telephone"
📟️,1f4df,pager worn waist alert person phone call short text message popular mobile phone though still used medical emergency personnel,emoji represents pager small twoway radio used instant communication often associated hospital emergency service oldfashioned communication method,pager
📠,1f4e0,fax machine scan transmits document telephone line common internet,emoji represents fax machine device used transmitting document image telephone line past mostly replaced digital method,fax
📡,1f4e1,dish antenna used send receive information communication satellite extraterrestrial life generally depicted mounted metal dish antenna positioned upper right,emoji represents satellite antenna symbolizing communication technology connectivity often used convey idea transmitting receiving signal satellite,"antenna, dish, satellite"
📢,1f4e2,loudspeaker used make announcement public area school sporting ground,emoji represents loudspeaker often used amplify sound communicate message public space event symbolizing announcement broadcasting communication,"loud, public address"
📣,1f4e3,handheld megaphone used amplify person voice may also known speaking trumpet bullhorn blowhorn loudhailer,emoji represents megaphone device used amplify sound often associated public speaking announcement communication large gathering,cheering
📤️,1f4e4,paper tray arrow top symbol email outbox generally depicted white wooden tray red arrow pointing upwards,emoji represents outbox tray symbolizing container outgoing message document item waiting sent delivered,"box, letter, mail, outbox, sent, tray"
📥️,1f4e5,paper tray arrow top symbol email inbox generally depicted white wooden try red arrow,emoji represents inbox tray symbolizing container receiving organizing incoming message document file often used context email postal service,"box, inbox, letter, mail, receive, tray"
📦️,1f4e6,package parcel contains item ordered online depicted various angle lightbrown cardboard box shipping label top taped shut,emoji represents package parcel often used express shipping delivery receiving item,"box, parcel"
📧,1f4e7,symbol email depicted back envelope imprinted capital letter e electronic sign commonly used icon email address,emoji represents envelope paper airplane inside symbolizing sending receiving electronic mail email commonly used digital communication,"email, letter, mail"
📨,1f4e8,back envelope shown coming inbox arriving motion line commonly used icon email address,emoji represents incoming envelope symbolizing communication message mail often used express sending receiving information document,"e-mail, email, envelope, incoming, letter, receive"
📩,1f4e9,back envelope arrow top generally depicted white red blue arrow,emoji represents envelope arrow symbolizing sending delivering message often used communication mailing context,"arrow, e-mail, email, envelope, outgoing"
📪️,1f4ea,curbside mailbox letterbox postbox door latched shut signal flag lowered generally depicted blue gray red flag,emoji represents closed mailbox lowered flag indicating mail inside delivery made often used communication postalrelated context,"closed, lowered, mail, mailbox, postbox"
📫️,1f4eb,curbside mailbox letterbox postbox door latched shut signal flag raised generally depicted blue gray red flag used various content concerning postal delivery email,emoji represents closed mailbox raised flag indicating mail package inside often used express sending receiving message package communication,"closed, mail, mailbox, postbox"
📬️,1f4ec,open curbside mailbox letterbox postbox signal flag raised letter open slot generally depicted blue gray red flag white envelope though google envelope previously yellow,emoji represents open mailbox raised flag symbolizing incoming mail message often used express communication notification receiving information,"mail, mailbox, open, postbox"
📭️,1f4ed,curbside mailbox letterbox postbox signal flag lowered slot empty generally depicted blue gray red flag used various content concerning postal delivery email,emoji represents open mailbox lowered flag indicating mail message waiting collected,"lowered, mail, mailbox, open, postbox"
📮,1f4ee,postbox mailbox letterbox letter slot collection generally depicted red white envelope styled public postbox japan,emoji represents postbox symbolizing mailing communication sending letter package,"mail, mailbox"
📯,1f4ef,postal horn post horn depicted coiled valveless brass horn like bugle trumpet two red tassel,emoji represents postal horn traditional instrument used postal carrier announce arrival collect mail various european country,"horn, post, postal"
📰,1f4f0,front page newspaper people read news internet commonly used various content concerning news medium journalism well personal news,emoji represents newspaper symbolizing news information medium often used express sharing current event article,"news, paper"
📱,1f4f1,mobile phone cell phone used text check social medium take selfies depicted black gray smartphone generic blue screen multicolored app icon,emoji represents mobile phone handheld device used communication entertainment accessing internet often symbolizing connectivity convenience modern life,"cell, mobile, phone, telephone"
📲,1f4f2,mobile phone cell phone rightward arrow pointed left intended indicate incoming call message used represent mobile phone technology communication generally,emoji represents mobile phone arrow pointing upwards indicating action making call texting often used express communication connectivity staying touch,"arrow, cell, mobile, phone, receive"
📳,1f4f3,icon representing vibration mode mobile phone indicating phone switched silent andor vibrate mode displayed phone either zigzag line mutedbell icon platform,emoji represents vibration mode often used text messaging mobile device indicate notification message sent without making sound,"cell, mobile, mode, phone, telephone, vibration"
📴,1f4f4,sign indicating mobile phone turned used situation cinema live performance,emoji represents mobile phone sign indicating device turned use often used express unavailable disconnected communication,"cell, mobile, off, phone, telephone"
📵,1f4f5,mobile phone red stroke indicating mobile phone present often seen restricted area custom passport control,emoji represents mobile phone symbol often used indicate mobile phone turned used particular area specific event,"cell, forbidden, mobile, no, phone"
📶,1f4f6,bar increasing height showing strength mobile cellular phone signal bar signifies better reception,emoji represents antenna bar symbolizing signal strength connectivity often used communication device like mobile phone wifi network,"antenna, bar, cell, mobile, phone"
📷️,1f4f7,classic camera slr used take picture camera phone generally depicted black silver casing lens operating control,emoji represents camera symbolizing photography capturing moment communication visual storytelling,video
📸,1f4f8,classic camera shown flash going illuminate darker scene vendor implement design camera burst light often resembling collision,emoji represents camera flash symbolizing photography capturing moment communication visual medium,"camera, flash, video"
📹️,1f4f9,video camera camcorder used film home video generally depicted gray black video camera viewfinder control button lens pointed left,emoji represents video camera symbolizing act recording capturing moving image often used communication entertainment journalism,"camera, video"
📺️,1f4fa,classic television set people watched streaming flatscreens depicted various color style screen knob many platform rabbitear antenna commonly used television broadcasting well various content involving screen watching movie playing video game,emoji represents television device used watching various medium content show movie news often used convey act watching streaming content,"tv, video"
📻️,1f4fb,classic portable radio used listen music news sport depicted various color style speaker antenna dial knob,emoji represents radio communication device used broadcasting audio program often used convey information entertainment connect people across distance,video
📼,1f4fc,videotape cassette vhs tape used watch movie record tv vcr dvd dvrs streaming generally depicted black cassette white label reel,emoji represents vhs video cassette popular home video format often used record tv show movie personal event,"tape, vhs, video"
📽️,1f4fd,classic film projector project film onto screen viewing generally depicted black gray projector two mounted reel lens pointed right,,"cinema, film, movie, projector, video"
📿,1f4ff,string bead used prayer meditation many religious tradition generally depicted red wooden bead gold decorative center bead tassel,emoji represents prayer bead also known rosary bead used various religious practice meditation prayer counting mantra prayer,"beads, clothing, necklace, prayer, religion"
🔀,1f500,two arrow pointing right crossing one another used indicate putting music shuffle randomizing order track upcoming playlist,emoji represents shuffle track button often used music player randomly mix play song playlist album,"arrow, crossed"
🔁,1f501,circular arrow pointing clockwise direction used music player application loop track album continuously,emoji represents repeat button often used indicate repeating action cycle process symbolize continuity iteration,"arrow, clockwise, repeat"
